channel_1,channel_2,channel_3,channel_4
0.25449705,0.2555828,0.2564141,0.2571464
0.27265602,0.27314937,0.2734089,0.27362296
0.18588325,0.18643017,0.1868384,0.1872589
0.11358802,0.11376843,0.113905095,0.113976814
0.2320509,0.23150988,0.23104304,0.23045762
0.34033412,0.33973262,0.3393217,0.33886367
0.2577256,0.2564837,0.2554761,0.25444698
0.1941202,0.19165254,0.18934284,0.18698537
0.18450049,0.1821943,0.17997357,0.17777586
0.17216836,0.17148884,0.17097436,0.17055921
0.2535851,0.25332886,0.2532541,0.2532691
0.2835036,0.28327918,0.2830684,0.28293765
0.19852833,0.1989919,0.19939268,0.1999104
0.17418027,0.17430115,0.17445011,0.17470513
0.24523005,0.2440534,0.24280809,0.24154502
0.23859467,0.23722827,0.23557809,0.23380347
0.15065955,0.1501984,0.14944115,0.14852971
0.07822506,0.07785184,0.07735143,0.07673648
0.07073723,0.07059198,0.07040002,0.07015925
0.107753105,0.107974455,0.108192265,0.10838042
0.1679992,0.16739435,0.16684455,0.1662754
0.097408086,0.09574396,0.09407509,0.09241513
-0.07458523,-0.07555549,-0.07680962,-0.078052126
-0.1828276,-0.18077183,-0.17912377,-0.17753881
-0.085782446,-0.081989855,-0.07858897,-0.07532401
0.002584336,0.0054898374,0.008168426,0.010734515
0.062360145,0.06605754,0.06951713,0.07286555
0.20981818,0.21318516,0.21629517,0.21931753
0.23553872,0.23731415,0.23884879,0.24032189
0.13523528,0.1360084,0.13669315,0.13730001
0.132038,0.13271207,0.13349788,0.13420504
0.18545666,0.18646856,0.1876455,0.18879963
0.13330232,0.13431351,0.1353844,0.13647464
0.07632316,0.07667891,0.07699552,0.077304594
0.15741643,0.15717898,0.1568677,0.15648045
0.2958148,0.29541728,0.2949544,0.29441154
0.33804533,0.33689272,0.33569494,0.3344792
0.29240686,0.2901299,0.2878831,0.28565124
0.33852428,0.33604965,0.33369976,0.33135003
0.43070072,0.4290535,0.42755422,0.42607498
0.33744738,0.33605054,0.33469537,0.33340225
0.31948215,0.3179476,0.31637216,0.31485465
0.44933116,0.4486751,0.44799924,0.44735393
0.38888344,0.38943797,0.38999417,0.3905483
0.071713194,0.073185675,0.07458103,0.07591245
-0.14733137,-0.144285,-0.14143552,-0.13866653
-0.34393165,-0.3410764,-0.33844218,-0.33578563
-0.62124616,-0.6194048,-0.61777663,-0.61609644
-0.9807356,-0.979174,-0.9777717,-0.9764074
0.11153956,0.11153956,0.11153956,0.11153956
0.25789627,0.25789627,0.25789627,0.25789627
0.05505321,0.05505321,0.05505321,0.05505321
-0.19366068,-0.19366068,-0.19366068,-0.19366068
-0.072592735,-0.072592735,-0.072592735,-0.072592735
0.025974,0.025974,0.025974,0.025974
-0.018547881,-0.018547881,-0.018547881,-0.018547881
-0.092762776,-0.092762776,-0.092762776,-0.092762776
-0.0210374,-0.0210374,-0.0210374,-0.0210374
0.0012806917,0.0012806917,0.0012806917,0.0012806917
-0.11427865,-0.11427865,-0.11427865,-0.11427865
-0.26573333,-0.26573333,-0.26573333,-0.26573333
-0.22905579,-0.22905579,-0.22905579,-0.22905579
0.0065271347,0.0065271347,0.0065271347,0.0065271347
0.12579484,0.12579484,0.12579484,0.12579484
0.082807414,0.082807414,0.082807414,0.082807414
-0.0718746,-0.0718746,-0.0718746,-0.0718746
-0.22414906,-0.22414906,-0.22414906,-0.22414906
-0.14761494,-0.14761494,-0.14761494,-0.14761494
-0.05361552,-0.05361552,-0.05361552,-0.05361552
-0.050250582,-0.050250582,-0.050250582,-0.050250582
-0.08761734,-0.08761734,-0.08761734,-0.08761734
0.011456804,0.011456804,0.011456804,0.011456804
0.07227843,0.07227843,0.07227843,0.07227843
0.22046556,0.22046556,0.22046556,0.22046556
0.49603456,0.49603456,0.49603456,0.49603456
